product_name,barcode,ingredients,calories,sugar,fat,proteins,saturated_fat,fibers,sodium
,8850389100684,"water, lychee juice from concentrate 25%, coconut 25%, fructose, sucrose, acidifiers (citric acid, calcium lactate), lychee flavor, preservative e211, gelling agent: gellan gum, color: e129 - 0.0001% (this dye may have adverse effects on activity and attention in children),",53.0,12.0,13.53,7.3,4.073508264951358,10.978939797868732,277.16719561653315
Chocolat en poudre,1234567890128,Ingridients:Poudre de cacao - sucre - lait entier (faible teneur en matière grasse) - Emulsifiants,134.0,2.7,1.6,1.3,18.98282219134133,5.742245728594475,487.598061021707
Gaufres Côte d’Or,9141209,"glucose syrup, bulking agent (polydextrose), starch, humectant (sorbitol syrup), gelatine, sugar, acids (malic acid, acetic acid), concentrated fruit juices' (1 %) (apple, lime, orange, lemon, strawberry, blackcurrant, raspberry), colours (anthocyanins, vegetable carbon, paprika extract, lutein, curcumin), coconut oil, flavourings, glazing agent (carnauba wa 'equivalent to 6.9% fruit juice.",284.0,35.2,0.424,5.08,0.5096314364864687,1.0309484442315306,87.69242446291442
Wild Pacific Red Salmon,5000171010025,"red salmon 99 %, salt.",151.0,10.0,7.8,20.4,1.0243632131279548,4.114326551010618,491.3876459084551
Kissan Fresh Tomato Ketchup,8901030897542,"water, tomato paste (28%), sugar, iodised salt, acidity regulator-E260, stabilizers - E1422, E415, Preservetive - E211, Onion power, garlic powder, spices and condiments.",887.0,195.0,2.67,7.33,1.5835578092274394,0.9000864711296719,487.598061021707
Kissan fresh tomato ketchup 1kg,8901030921667,,133.0,29.3,0.667,1.33,1.861000790833198,12.514555730803265,178.0306327286409
Maaza Original 1.2ltr,8901764092305,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATOR (330), ANTIOXIDANT(300) AND PRESERVATIVE (202) CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (110) AND ADDED MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",54.0,13.0,13.53,7.3,1.3648111706918704,2.24564803640535,348.6260672362391
kissan fresh tomato,8901030921797,,133.0,55.2,0.4,1.1,15.72500163172097,9.76615356924844,64.24578751519033
BOURBON,8901063139374,"EDIBLE MAIZI CH, 122, 110, 13 & 102), COCOA SOLIDS (2.7%), MILK SOUDS, RAISING AGENTS (500) & 503(1) NATURE IDENTICAL & ARTIFICIAL (VANILU CHOCOLATE MILK & MILKY COCOA) FLAVOUING SUBSTANCES, EMULSIFIERS [471 & 322(1), M.K CHOCOLATE (0.1%) [EMULSIFIER (322(1) AD IODSED SALT.",493.5,37.0,20.3,5.0,7.199391201202426,1.6332858162958095,348.6260672362391
tomato ketchup,8901030902932,,133.0,26.0,0.667,1.33,8.859034625418065,13.322881192212067,129.6601918620949
Lays Classics Salted 20rs,8901491101837,"Potato, Edible Vegetable Oil (Palmolein Oil, Rice Bran Oil), Salt (1%).",554.0,2.6,35.5,7.0,0.784331570192846,13.300239505207033,12.761032332100278
Thumbs Up 750ml,8901764042270,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.3 mg/100 g), COLOUR (1506) FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVOURING SUBSTANCES). &quot;CONTAINS CAFFEINE&quot;",36.0,9.0,13.53,7.3,6.5740735821889595,3.1577793006816703,19.523226039327973
Thums up,8901764042911,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.1 mg/100 g), SWEETENER (960) COLOUR (150 d), FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVORING SUBSTANCES).",39.0,9.5,13.53,7.3,11.998209578340592,2.145820289609906,412.07509178155794
Oreo,7622201756697,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocca Solids (2%), Leavening Agents (500(i), 503(ii)), Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances. *T&C apply Allergen Information: Contains Wheat, Sulphite, Soy. May Contain Milk and Barley. er day",483.0,38.8,19.6,7.3,12.013303835521027,11.019874047970086,317.62133737448846
Coca Cola Coke Brand 750ml,8901764012273,,44.0,11.0,13.53,7.3,15.72500163172097,9.719378503972148,377.4953117494347
masala munch 10rs,8901491361026,"Cereal Products(61%)(Rice Meal(42%),Corn Meal(19%),Edible vegetable oil(palmolein,sesame oil),*Seasoning(~spices and condiments,iodised salt,maltodextrin,sugar,black salt,acidity regulators(330,296,334),tomato powder,hydrolysed soy protein,flavour(natiral and nature identitical flavouring substances),Dxtrose,emulsfier(414),milk solids,edibile starch,flavour enhancers(627&631)),Gram meal(3%)
*as flavouring agent . ~contains onion and garlic",556.0,1.7,33.7,6.4,15.72500163172097,3.053273352009243,297.4288062716998
Cadbury Dairy Milk,7622202398698,,532.0,57.0,29.2,7.8,9.954020511214276,11.787644417565161,369.7335276636138
Amul Masti Spiced Buttermilk,8901262200196,"Milk Solids, Common Salt, Spices & Condiments (1%), Permitted Stabilizer (E 460(i)).",28.5,1.8,1.5,1.5,12.503632723868401,0.0,87.69242446291442
Ching's Schezwan Chutney,8901595862962,"Water, Sunflower Oil, Sugar, Ginger, Salt, Chilli, Garlic, Onion, Corn Starch, Flavour Enhancer (E635), Thickener (E1422), Acidity Regulator (E260), Spices (Whte Pepper, Schezwan Pepper), Preservatives (E202, E211). Celery, Soy Sauce Powder (Soybean, Wheat, Salt).",133.0,6.67,6.67,7.3,10.33326532443087,2.145820289609906,105.28850888227026
Sprite,8901764032707,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330,331(ii)), PRESSERVATIVE (211) & SWEETENER (960).",40.0,9.8,13.53,7.3,6.5740735821889595,4.55880144697639,265.33712799426144
,8901030831690,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP, PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR E330, THICKENER E440, IODISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122.",285.0,68.1,0.1,0.3,0.20989013075968774,2.1935588163180397,369.7335276636138
Parle-G gold 75g,8901719125478,"REFINED WHEAT FLOUR (MAIDA) (68%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP* [SUGAR, CITRIC ACID], IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)], MILK SOLIDS, FLOUR TREATMENT AGENT [1101 (ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [472e] CONTAINS ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES VANILLA) (D-GLUCOSE, LEVULOSE) CONTAINS: WHEAT, MILK",454.0,25.5,13.0,6.9,9.49707701072279,11.246774451523589,412.07509178155794
Lay's Potato Chips,8901491101844,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)",500.0,10.0,35.0,10.0,14.619162948927473,12.750752011761092,413.26050640400234
Parle-G,8901719128462,"REFINED WHEAT FLOUR (MAIDA ) - 68%, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP# [SUGAR, CITRIC ACID], IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)], MILK SOLIDS, FLOUR TREATMENT AGENT [1101 (i)] AND EMULSIFIER OF VEGETABLE ORIGIN [472e], CONTAINS ADDED FLAVOUR ( ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA) (D-GLUCOSE, LEVULOSE)",454.0,25.5,13.0,6.9,6.5740735821889595,11.787644417565161,250.70700021599177
Maaza Original 600ml,8901764092206,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATOR (330), ANTIOXIDANT(300) AND PRESERVATIVE (202). CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (110) AND ADDED MANGO FLAVOURS NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",63.0,14.9,13.53,7.3,15.442246881095762,6.710321657098728,0.0
FOOD,5000232192202,"Mackerel [Fish], Sunflower Oil, Water, Salt.
 OCEAN OF CATCH: Atlantic, Northeast)",217.0,0.1,21.3,19.7,0.0,1.6830610561964514,170.3573731330708
Sprite 750ml,8901764032271,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(i)), PRESERVATIVE(211), SWEETENER (960), FLAVOURS (NATURAL FLAVORING SUBSTANCES)",40.0,9.8,13.53,7.3,9.175792685919014,7.537630515613659,104.88037843630475
Mixed fruit Jam,8901030831706,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR-E330, THICKENER-E440, 10DISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122 NUMBER OF SERVES PER PACK: APPROX. 25, PER SERVE: 20 g (1 Tbsp)",286.66666666667,68.666666666667,13.53,7.3,6.5740735821889595,12.794341877982042,402.95369682208417
Thums Up  (Coca-Cola),8901764042300,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (330 CAFFEINE (8.1 mg/100 g), SWEETENER (960), COLOUR (150 d), FLAVOURS NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVOURING SUBSTANCES).",42.0,10.4,13.53,7.3,14.166461142567579,5.413472801828353,12.761032332100278
Maggi,8901058000269,"Noodles: Refined wheat flour (Maida), Paim oil, lodized salt, Wheat gluten, Thickeners (508&412), Acidity regulators (501 (i) & 500 (i) and Humectant (451 (i)). Masala *TASTEMAKER®: Mixed spices (25.6%) (Onion powder Coriander powder, Turmerie newder, Red chilli powder, Garlic powder Cumin powder, Aniseed powder, powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Contains Wheat & Nut. May Contains Milk, Mustard, Oats And Soy. #Lets toMAGGI",384.0,1.8,12.5,8.2,7.553348365062512,3.053273352009243,482.24983928154194
Lays 20rs,8901491101813,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (Sugar, lodised Salt, Milk Solids, &quot;Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking agent (551)).",313.0,1.9230769230769,21.153846153846,3.8461538461538,16.06371991700539,10.921922155495388,413.26050640400234
West Indies' Hot 'n' Sweet Chilli,8901491503051,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), &quot;Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking agent (551), Cocoa Solids, Lactose). &quot;As flavouring agent. &quot;Contains Onion and Garlic",544.0,6.0,33.0,7.0,19.739050038350292,3.053273352009243,416.4126136516763
Amul Pasteurized Butter,8901262010016,"Butter, common salt. CONTAINS PERMITTED NATURAL COLOUR [ANNATTO]",714.28571428571,10.0,78.571428571429,7.3,9.175792685919014,12.750752011761092,108.15703817617246
Sprite,8901764032912,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",49.0,11.7,13.53,7.3,1.2558638821471693,13.391677017124442,170.3573731330708
Chyawanprash Awaleha,8901207040337,"Each 100g is prepared from Ext. derived from the following - Patals (Stereospermum suaveolens, St. Bk.), Agnimantha (Clerodendrum phlomidis, St. Bk.), Gambhari (Gmelina arborea, St. Bk.), Bilva (Aegle marmelos, St. Bk.), Shyonaka (Oroxylum indicum, St. Bk.), Gokshura (Tribulus terrestris, Fr.), Shalaparni (Desmodium gangeticum, PI.), Prishniparni (Uraria picta, Pl.), Brihati (Solanum indicum, Pl.), Kantakari (Solanum surattense, Pl.), Pippali (Piper longum, Fr.), Karkatshringi (Pistacia integerrima, Gl.), Draksha (Vitis vinifera, Dr.Fr.), Guduchi (Tinospora cordifolia, St.), Haritaki (Terminalia chebula, P.), Bala (Sida cordifolia, Rt.), Tamalaki (Phyllanthus niruri, Pl.), Vasa (Adhatoda vasica, Lf.), Jiwanti (Leptadenia reticulata, Pl.), Shati (Hedychium spicatum, Rz.), Musta (Cyperus rotundus, Rz.), Pushkara (Inula recemosa, Rt.), Kakanasika (Martynia annua, Fr.), Mudgaparni (Phaseolus trilobus, Pl.), Mashaparni (Teramnus labialis, Pl.), Vidari (Pueraria tuberosa, Rt. Tr.), Punarnava (Boerhavia diffusa, Rt.), Utpala (Nymphaea stellata, Fl.), Sukshamaila (Elettaria cardamomum, Fr.), Agaru (Cinnamomum zeylanicum-official substitute, St.Bk.), Shweta Chandan (Santalum album, Ht. Wd.), Riddhi (Dioscores bulbifera-official substitute, Rt. Tr.), orea bulbifera-official substitute, (Asparagus recemosus - official Rt.), Mahameda (Asparagus official substitute, Rt.), Jivaka Vrida Rt. 1 substr recemosus 6 official (Pueraria tuberosa - official substitute, Rt. Tr.), Rishabhak (Pueraria tuberosa substitute, Rt. Tr.), Kakoli (Withania somnifera - official substitute, Rt.), Kshirkakoli (Withania somnifera-official substitute, Rt.) each 0.396g and Amalaki (Emblica officinalis, Fr., Fr. Pulp) 90.0g, Ghrita, Tila tall (Sesamum indicum, oil) each 1.38g, Sharkara 59.5g, Madhu 4.76g and Powder of the following-Pippali (Piper longum Fr.) 0.79g, Vamsha (Bambusa bambos, S.C.) 1.68g, Tvak (Cinnamomum zeylanicum, St.Bk.) Sukshamalla (Elettaria cardamomum, F Tvakpatra (Cinnamomum tamala, LAX Nagkesara (Mesua ferrea, Sinn.), Abbrak Sam each 0.1g Mukta Pish 8.00 Akarkarabha (Anacyclus pyrethrum, & Lavanga (Syzygium aromaticum, FL B4) La Kumkum (Crocus sabus Sty Preservative Sodium Benzoate",50.0,10.0,13.53,7.3,6.5740735821889595,14.992071623618445,258.5473541262634
Coca cola Soft Drink 750ml,3948764012273,"Carbonated water ,Sugar, Acidity Regulator (338), Caffeine (8.7 mg/100g), Colour (150d), Flavours (Natural Flavoring substances)",44.0,10.6,13.53,7.3,19.31607745818373,11.019874047970086,258.60908131176654
Rooh Afza 750ml pet,8901453000024,"Sugar syrup 87.8%, {Sugar, Water, Acidity regulator (INS 330)} Distillate of (Nilofer, Dhaniya, Khas, Gulab, Kasni, Chhareela, Gaozaban, Pudina, Sandal Safaid, Gajar, Munakka) 4.5% Pineapple Juice 2.5%, Orange Juice 1.0%, preservative (INS 211), Distillate of Kewada and Gulab used as natural flavoring agent",414.0,10.0,13.53,0.5,15.442246881095762,6.2646201739469145,200.8810364567867
Chef's Special Tomato Ketchup,8906069403412,"Water, Tomato Paste (28.0%), Sugar, lodised Salt, Stabilizers (INS1422, INS415), Acidity Regulator (INS260), Spices and Condiments and Preservative (INS211).",98.6,20.5,13.53,0.85,10.979534558931263,10.021280716622531,118.42919229832918
"Manner - Chocolate Cream Filled Wafers, 2.5oz (72g)",73935942400,Test,500.0,30.0,26.666666666667,3.3333333333333,9.954020511214276,10.733415909956767,491.3876459084551
Yaourt nature sucres U,850006000012,,80.0,9.6,3.3,3.0,2.8759278269756323,11.96713136611336,428.727785850292
Maggi noodles masala,8901058000306,"Noodles: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501(i) & 500 (i)) and Humectant (451 (i)).

Masala *TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, Vodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Contains Wheat & Nut.

May contains Milk, Mustard, Oats And Soy.",386.0,1.43,12.9,7.86,15.448279899050318,10.564642193353631,369.7335276636138
Amul Toned Milk,8901262260121,MILK,58.0,10.0,3.0,3.0,1.861000790833198,2.795030413937512,304.32696117574676
Coca-Cola,8901764012914,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.7 mg/100 g), COLOUR (150d), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",44.0,10.6,13.53,7.3,1.0243632131279548,7.6744967647124245,145.54491577591355
Cadbury Dairy Milk,8901233030548,"Sugar, Milk Solids16%, Cocoa Butter, Cocoa Solids, Lactose, Emulsifiers 442, 476",527.0,61.0,27.9,5.6,11.269416231632974,8.465431831203553,97.51787556858986
Brit bourbon 150g (sys),8901063139213,,493.5,37.0,20.3,5.0,6.571148108332266,1.0309484442315306,204.33700142197648
Amul Gold Milky Milk,8901262260107,Milk,87.0,10.0,6.0,3.2,3.7786036649579877,8.251238564684787,374.6686196765607
Limca lime lemon drink 750ml,8901764052279,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331()), STABILIZERS (414,471), PRESERVATIVE (211), FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (LEMON) FLAVORING SUBSTANCES).",44.0,10.7,13.53,7.3,6.5740735821889595,3.1577793006816703,12.761032332100278
Frooti,8902579103057,"water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins 331(iii)], preservatives (ins211, insi ins202), antioxidant (ins300), nature-identical flavouring substances (mango) and synthetic food colour (ins110)",65.0,15.5,13.53,7.3,18.445297276960027,10.397477463802382,189.86672586506697
Marie gold,8901063162426,"REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR STRUP, MILK PRODUCTS [MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK], RAISING AGENTS [503 (ii) & 500 (ii)], IODIZED SALT, NATURE IDENTICAL & ARTIFICIAL (MILK & VANILLA) FLAVOURING SUBSTANCES, EMULSIFIER (472e), CALCIUM SALT, DOUGH CONDITIONER (223), VITAMINS, FERROUS SALT, COLOUR (150D) AND POTASSIUN IODATE",445.0,21.9,10.7,8.4,3.7786036649579877,0.5895647963319056,10.058136006316504
2-minute Noodles,941458000290,"refined wheat flour, palm oil, iodised salt, wheat gluten, potassium chloride, guar gum, potassium carbonate, sodium bicarbonate, sodium tripolyphosphate, onion powder, coriander powder, turmeric powder, red chili powder, garlic powder, cumin powder, aniseed powder, ginger powder, fenugreek powder, black pepper powder, clove powder, green cardamom powder, nutmeg powder, hydrolysed groundnut protein, sugar, palm oil, starch, iodised salt, potassium chloride, disodium ribonucleotides, toasted onion flakes, acidity regulator, citric acid, caramel color, mineral, wheat gluten",443.0,2.86,18.6,8.57,14.190644298141304,10.921922155495388,10.058136006316504
Storia 100% Tender Coconut Water 1L,8904272600291,Tender Coconut Water 100%,20.0,5.1,13.53,0.1,6.161814006550076,11.019874047970086,104.88037843630475
Amul,8901262010320,"Butter, iodized salt, natural colour (annatto)",724.0,10.0,80.0,1.0,6.8575811858062945,0.45152031993385844,167.578249469784
Lay's American Style Cream & Onion Flavour,8901491502030,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), 'Seasoning (Sugar, iodised Salt, Milk Solids, ^Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551)).Contains Onion ALLERGEN ADVICE: Contains _Soy_, _Milk_ May Contain _Sulphite_
'As flavouring agent ,^Contsins onion",537.0,3.4,33.1,6.7,7.553348365062512,3.053273352009243,204.33700142197648
Puffcorn,8901491366052,,555.0,1.0,34.5,6.0,0.6058406222074942,6.521719302592139,156.3365466575034
Oats,8901491103800,Rolled Oats Flakes,407.0,1.8,9.5,11.8,17.907064273510212,14.407249278504088,377.67302998008796
Sprite,8901764032905,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), SWEETENER (960), FLAVOURS (NATURAL FLAVOURING SUBSTANCES).",40.0,9.8,13.53,7.3,7.233467998031024,12.794341877982042,116.85762320996497
Lahori Zeera,8908013982646,"CARBONATED WATER, SUGAR, LEMON JUICE CONCENTRATE (0.3%) EQUIVALENT TO 2.5% LEMON JUICE RECONSTITUTED, ACIDITY REGULATOR ONS 300 STABILISER (INS 414), CONTAINS PERMITTED NATURAL COLOUR (INS-150d) AND FLAVOURS (NATURAL & NATURE-IDENTICAL FLAVOURING SUBSTANCES), BLACK SALT, IODISED SALT CUMIN SEED, BLACK PEPPER & DRY GINGER POWDER, CLASS II PRESERVATIVE (INS-211). FINS-INTERNATIONAL NUMBERING SYSTEM).",47.2,11.8,13.53,0.2,1.861000790833198,9.306213150739346,383.7883783982417
Dal makhani,8901047816208,"Water, Black Gram Lentils (33.3%), Tomato (8.4%), Red Kidney Beans (4%), Sunflower Oil, Garlic, Salt, Ginger (0.6%), Cumin Powder, Garam Masala, Red Chilli powder, Fenugreek Leaves, Cinnamon, Cardamom, Bay leaf, Nutmeg Powder, Mace Powder",91.0,1.0,2.9,5.1,4.406359530796395,7.6744967647124245,497.9643448409737
Fruit drink,8901764175091,"NGREDIENTS: WATER, MANGO PULP(11.5%), SUGAR, ACIDITY REGULATORS 030 33 STABILIZER (466), ANTIOXIDANT 300 ,SWEETENER (960), COLOUR (110), MANGO FLAVOURS NATURE-DENTICAL & ARTIFICIAL FLAVORING SUBSTANCES",44.0,10.7,13.53,7.3,6.951718270759593,14.407249278504088,145.54491577591355
Mountain Dew,8902080364589,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), FLAVOUR (NATURAL FLAVOURING SUBSTANCES), PRESERVATIVE (211), CAFFEINE (13 mg/100 g), STABILIZER (445), COLOUR (102)",49.0,12.3,13.53,7.3,9.49707701072279,9.236128912713323,383.7883783982417
Cadbury dairy milk,7622202237942,"Chocolate grements: Sugar, Cocoa Butner, Milk Solids (19%*) Cocoa solids, Emulsifiers (442. 476), Flavours (Natural Nature Identical and Arofical (Caramel and Vanilla flavouring) Schstances) 

Allergen Information: Contains Milk, Sulphite May Contain Tree Nuts, Wheat, Barley and Soy",526.0,58.8,28.0,6.8,15.525143184886177,4.065008546922558,258.60908131176654
Nutri Choice,8901063142015,"WHEAT FLOUR (63%), REFINED PALM OIL, SUGAR, WHEAT BRAN (4.7%), LIQUID GLUCOSE, MILK SOLIDS, MALTODEXTRIN, RAISING AGENTS (INS 500, INS 503), IODISED SALT, EMULSIFIERS (INS 322, INS 471, INS 472c), MALT EXTRACT AND DOUGH CONDITIONER (INS 223). CONTAINS WHEAT, MILK, SOYA, BARLEY AND SULPHITE",481.0,13.1,20.9,9.1,6.288548202141677,2.795030413937512,402.95369682208417
Chilli Chatka 20rs,8901491100533,"Rice meal (43.2%), edible vegetable oil (palmolein oil), corn meal (20.0%), gram meal (3.3%), spices and condiments (chilli powder, onion powder, fennel powder, ajwain powder, cumin powder, garlic powder, coriander powder, black pepper powder, spice extract, fenugreek powder), sugar, salt, citric acid (330).",562.0,2.0,35.1,5.6,0.6058406222074942,6.521719302592139,19.523226039327973
Sprite,3948764032271,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(1), PRESERVATIVE (211), SWEETENER (960), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",40.0,9.8,13.53,7.3,11.269416231632974,0.45152031993385844,19.523226039327973
